Categorie;Inhoud 1;Inhoud 2;Inhoud 3;
Belastingen;Gisteren ontving ik, tot mijn verbazing, opnieuw een aanmaning betreffende de mij opgelegde aanslag 31449952 waarbij gedreigd wordt met allerlei maatregelen als ik de aanslag niet binnen enkele dagen betaal. <br />Enkele weken geleden (direct na ontvangst van de eerste aanslag) heb ik echter bezwaar<wbr />/beroep aangetekend tegen deze aanslag. Hier heb ik nog totaal niets over gehoord, zelfs geen ontvangstbevestiging. U zult begrijpen dat het mij vreemd overkomt dat ik nu wel gewoon deze aanmaning ontvang. Het lijkt erop dat de gemeente Amsterdam mijn bezwaar<wbr />/beroep gewoon naast zich neerlegt en lekker doorgaat met de invordering van de aanslag. <br /><br />Ik zou dan ook, voordat ik eventueel tot betaling overga, graag eerst vernemen hoe het precies staat met mijn bezwaar<wbr />/beroep. Hoe en wanneer wordt dit behandeld, wat is de uitslag ervan, etc. <br /><br /><br />Mede omdat u ook dreigt met het inschakelen van deurwaarders en allerlei bijbehorende incassomaatregelen zou ik dan ook graag van u het volg;? ;Afhandeling lopend bezwaar<wbr />/beroep;
Belastingen;BILJETNUMMER 36043336;;I HAVE RECENTLY MOVED INTO MY HOUSE ON WILLEM FREDERIK HERMANSSTRAAT - I WOULD LIKE TO KNOW THE TYPES OF TAX THAT I HAVE TO PAY AND HOW AM I CHARGED? I WAS ISSUED A BILJET OF EUR41.08 PER MONTH - THIS IS WAY MORE THAN WHAT I EXPECT TO PAY PER MONTH. PLEASE COULD YOU EXPLAIN?;
Openbare ruimte;Stank en geluidsoverlast door bakkerij die zich onder onze koopwoning , van de alliantie heeft gevestigd ! ;Her geven van vergunning voor bakkerij onder woning ????;Inspectie en kijken of deze bakkerij zich hier uberhaupt wel mag vestigen !! <br />Kijken naar afzuiginstalatie en geluiden.;
Belastingen;Hallo, ik heb een brief ontvangen over een betaling gaat over een bepaald aanslagbedrag met twee acceptgiro's<br /><br />het gaat om een aanslagbiljet reclamebelasting definitieve aanslag<br /><br />biljetnummer 36067702<br />belastingjaar 2014<br />dagtekening 30-09-2014<br />betalingskenmerk 3000 0000 3606 7702<br />totaalbedrag 201,50<br /><br />de reden van de klacht is namelijk dat Spaans Bedrijf Restaurant La Paella B.V. sinds 1 maart 2014 niet meer actief is als B.V. het bedrijf is verkocht en het is nu een V.O.F.;;Dat het aangepast word.<br />want spaans restaurant bedrijf la paella b.v. is op 1 maart verkocht, het is nu een V.O.F. en de eigenaar is een ander persoon nu. <br /><br />La Paella B.V. is nog ingeschreven als naam op de kamer van koophandel maar het is niet meer actief als onderneming.<br /><br />dus dat jullie het onder de naam v.o.f. zetten en op het correcte adres versturen is wat jullie kunnen doen.;
Parkeren;Vrijdag voor een bezoek aan het Rijksmuseum onze auto geparkeerd in P&R Arena. Vooraf op de website gezien dat we geen vervoersbewijzen meer zouden krijgen, maar met eigen Ov-kaarten moeten reizen en dat je een gereduceerd tarief berekend krijgt als je de Ov-kaart scant bij het afrekenen. Wij met zijn vieren met lijn 54 naar het Amstelstation en daarna met lijn 12 naar het Rijksmuseum. Na een etentje in Cafe Loetje met lijn 56 naar station Zuid en vervolgens met lijn 50 naar Arena omdat lijn 12 net weg was en we anders een half uur zouden moeten wachten. Terug in de garage kregen we wel een enorme domper, want de automaat gaf aan dat we niet vanuit het centrum kwamen en moesten we 24 euro betalen. Schandalig vind ik, omdat uit jullie kaartje wat ik gedownload had niet op te maken was dat je alleen met lijn 54 mocht reizen! Als je met tram of bus reist in de stad moet je altijd overstappen op de trein of de metro om op A Arena te komen, dus moet je ook de voorlaatste incheck meenemen!;Ja, contact gezocht met de medewerker van de garage. Hij gaf aan dat je alleen maar met lijn 54 mocht reizen wilde in aanmerking komen voor de korting. In jullie informatie is daar niets over te vinden!! ;1. De 23 euro overmaken waar ik recht op heb naar mijn rekening: NL 25 INGB 0003932532, t.n.v. mevr. C. Morra<wbr />/ mevr. J.M.A. Verdoes.<br />2. Of de documentatie aanpassen, waarin staat dat je alleen maar met lijn 54 mag reizen;
Overlast;geluidsoverlast van het dance event terwijl ik in WEESP woon;;zorgen dat het geluid de volgende keer zachter is of tot 01.00 uur duurt. de hele nacht vind ik echt te gortig;
Openbare ruimte;Als bewoner van de Amsterdamse binnenstad en zorgverlener in het OLVG dien ik hierbij een klacht in betreffende de overlast die de onophoudende stroom aan evenementen in de Amsterdamse binnenstad met zich meebrengt. Ik heb er ooit bewust voor gekozen om in de binnenstad te gaan wonen en geniet van de meestal gezellige drukte, de terrasjes en de toeristen. Ik zeur niet over onhandige toeristen op huurfietsen of nachtelijk dronkemansgebral, dat hoort er allemaal bij. Maar dat ik vandaag pas na 1 uur vertraging mijn werk kon bereiken vanwege een lekke fietsband van al het glas op straat van indrinkende Amsterdam Dance Event bezoekers, een totaal ontregeld GVB vanwege de Amsterdam Marathon en een absoluut tekort aan vrije taxi's, geeft voor de zoveelste keer weer eens aan dat de stad het aantal en de grootte van de evenementen niet aan kan. Evenementen? Prima, maar zorg er als gemeente wel voor dat de straten veilig en begaanbaar blijven. En zo'n marathon, kan dat niet in Zuid-Oost ofzo?;Ja, alle medewerkers die 'ja' zeggen tegen evenementen in de Amsterdamse binnenstad en die vervolgens verzuimen om voldoende maatregelen te treffen om overlast te beperken.;Strikter zijn in het verlenen van vergunningen voor evenementen, deze beter verspreiden over het jaar, hardere eisen stellen aan maatregelen die organisatoren van evenementen moeten nemen om overlast voor bewoners en voor Amsterdamse bedrijven binnen de perken te houden, en beter handhaven.;
Openbare ruimte;in de nacht van 18 op 19 oktober vond het ADE plaats onder andere in de Amsterdam Arena. Het geluidsniveau was dermate hoog dat ik in mijn woning, op, hemelsbreed, 3,9 km afstand, dat geluid zeer duidelijk kon horen.<br />Dat heeft mij uit mijn slaap gehouden en daar ben ik bijzonder verbolgen over. Ik heb medelijden met de bewoners van Vensperpolder.<br />Ter vergelijking: Als er een muziek event bij de Gaasperplas is is dat om 23:00 of 24:00 's avonds afgelopen. en terecht.<br />In de Arena was het pas 7 uur 's ochtends afgelopen.<br />Qua geluidsbelasting is dat een volkomen ridicule tijd.<br />Het gaat niet alleen om het geluidsniveau. Het gaat ook over ritme. Op 3.9 km afstand is het geluid vast wel onder een of andere geluidsnorm maar het ritme erbij is wat je wakker houdt.<br /><br />;De gemeente heft een vergunning afgegeven (ook mij medegedeeld door de politie). Ik kan niet aangeven wie. Ik neem aan dat diverse gemeentelijke ambtenaren daar mee bezig zijn geweest.;Ik wil dat de gemeente voorkomt dat dit nog een keer gebeurd door events met een dergelijk grote geluidsbelasting niet meer bij bewoond gebied toe te staan. <br />Verder wil ik dat de gemeente achteraf de veroorzaakte overlast tegen de inhoud van de vergunning houdt en eventueel maatregelen neemt tegen de organisatie van ADE.;
Openbare ruimte;Betreft de Marathon van 19<wbr />/10. En dan het gedeelte in het Vondelpark. Dit stuk is voor de lopers erg zwaar maar er wordt nauwelijks aangemoedigd. Werkt heel demotiverend.;?;Het zou de renners helpen als er b.v. een luidspreker in het park aan zou staan met wat opzwepende muziek. Je kunt tenslotte de mensen niet kwalijk nemen dat er niet wordt aangemoedigd of dat er weinig publiek staat. Maar lekker harde muziek zou de renners met de lange run door het park enorm helpen. ;
Parkeren;Mevrouw vindt het belachelijk dat zij een parkeerboete heeft ontvangen. Zij stond op een gehandicaptenparkeerplek terwijl zij wel een blauwe gehandicaptenkaart heeft en een jaarkaart can Cition (en een europese gehandicapten registratie). De boete heeft zij gekregen op 25 augustus. Mevrouw is in bezwaar gegaan en de boete is gegrond verklaard. Mevrouw is het hier absoluut niet mee eens. Er is een fout gemaakt en zij vindt zeer vervelend dat dit extra moeite en kosten met zich meebrengt. ;;Zij wilt dat de bekeuring niet betaald hoeft te worden omdat zij geen fout gemaakt maar de gemeente. Dat de gemeente haar daar in gaat helpen hierin omdat zij dit nu alleen moet uitzoeken. ;
